"last_name, first_name","player_id","year","p_era","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break","offspeed_range_speed",""
"Marquez, German","608566","2019","4.76","52.4","95.4","2207","-9.2","-19.2","15.6","1.7","44.6","86.1","2540","1.9","-38.7","4.8","2.6","3","87.8","1969","-14.7","-27.8","17.5","1.9",
"Ray, Robbie","592662","2019","4.34","52.7","92.4","2243","8.4","-14.9","19.7","1.5","47.3","83.3","2110","-1.7","-38.8","5","2.5",,,,,,,,
"Musgrove, Joe","605397","2019","4.44","57.9","91.9","2404","-5.1","-22.3","12.8","2.2","31.6","82.9","2519","10.2","-44","12.1","1.4","10.6","85.3","2001","-7.1","-33","9.2","1.5",
"Wacha, Michael","608379","2019","4.76","65.9","92.2","2046","-4.9","-16.2","16.8","2.4","10.3","75.3","2066","8.5","-60","14.3","1.5","23.8","85.5","1606","-11.2","-27.5","15.2","1.6",
"Archer, Chris","502042","2019","5.19","50.4","94","2259","-8","-13.9","19.4","1.4","37.6","88.4","2617","5.3","-34.6","6.3","2.3","12.1","87.7","1642","-12.3","-27.8","14.8","1.5",
"Hudson, Dakota","641712","2019","3.35","61.7","93.6","2141","-11.1","-22.7","14.4","1.2","35.6","85.9","2364","4.3","-37.6","6","3.1","2.6","88.1","1459","-11.6","-27.1","14.1","1.5",
"Paddack, Chris","663978","2019","3.33","61.1","93.9","2230","-7.6","-12.6","19.7","1.4","10.4","76.1","2145","6.2","-60.7","14.4","1.9","28.5","84.5","1707","-12","-29.2","15.4","1.3",
"Eflin, Zach","621107","2019","4.13","56","93.5","2149","-11.9","-20","16.9","1.3","36.1","85.7","2272","4.7","-33.2","8.7","4.1","7.9","86.7","1787","-14.1","-27.9","16.4","1.5",
"Greinke, Zack","425844","2019","2.93","46.7","89.9","2318","-3.2","-18.3","16.9","1.4","31","77.4","2481","9.7","-53.6","12.3","7.7","22.3","87.3","1779","-12.4","-32.4","13.2","1.4",
"Morton, Charlie","450203","2019","3.05","59.4","92.8","2237","-12.1","-24","16.7","4.1","37.4","78.6","2886","18.6","-55.5","20.9","1.2","3.2","84.8","2124","-20","-35.6","20.4","1.3",
"Chirinos, Yonny","630023","2019","3.85","56","93.9","2280","-17","-20","20.6","1.6","21.6","87.5","2335","3.6","-29.6","7.7","1.8","22.5","85.9","1294","-9.6","-33.6","11","1.7",
"Senzatela, Antonio","622608","2019","6.71","61.9","93.7","2102","-5","-20","12.3","1.6","30.1","82.4","2164","5.7","-42.6","6.7","3.4","8","87","2059","-6.8","-25.9","12.7","2.1",
"Williams, Trevor","592866","2019","5.38","66.9","91.3","2144","-8.1","-20.1","15.5","1.7","21","82.6","2205","6.4","-38.6","7","2.1","12.1","83.6","1814","-14.1","-29.7","16.8","1.3",
"Smyly, Drew","592767","2019","6.24","66","89.9","2076","4.5","-18","17.8","2.7","29.2","77.4","1950","4.1","-49.3","5","1.5","4.8","82.4","1187","3.5","-27.1","15.9","1.4",
"Sanchez, Aaron","592717","2019","5.89","57.5","93.6","2248","-14.9","-18.6","19.8","1.6","23.1","78.4","2841","14.8","-59.1","20","1.7","19.4","88","1811","-17.1","-29.1","18.4","1.8",
